ADDRESS,form_address,lat,long
"6500 ED BLUESTEIN BLVD SB, Austin, TX","6518 Ed Bluestein Blvd, Austin, TX 78723, USA",30.3034152,-97.66196599999999
"11900 STONEHOLLOW DR, Austin, TX","11900 Stonehollow Dr, Austin, TX 78758, USA",30.401757,-97.7059403
"1600 MONTOPOLIS DR, Austin, TX","1600 Montopolis Dr, Austin, TX 78741, USA",30.2278741,-97.7019807
"1900 E WILLIAM CANNON DR, Austin, TX","1900 E William Cannon Dr, Austin, TX 78744, USA",30.1882071,-97.76277619999999
"1900 GASTON PLACE DR, Austin, TX","1900 Gaston Pl Dr, Austin, TX 78723, USA",30.3134485,-97.6908114
"2400 WICKERSHAM LN, Austin, TX","2400 Wickersham Ln, Austin, TX 78741, USA",30.227438,-97.723113
"600 BRAZOS ST, Austin, TX","600 Brazos St, Austin, TX 78701, USA",30.26768169999999,-97.741483
"600 W BEN WHITE BLVD SVRD EB, Austin, TX","W Ben White Blvd, Austin, TX, USA",30.2273096,-97.77319779999999
"6200 E RIVERSIDE DR, Austin, TX","6200 E Riverside Dr, Austin, TX 78741, USA",30.225786,-97.70448599999999
"900 E KOENIG LN SVRD EB, Austin, TX","909 E Koenig Ln, Austin, TX 78751, USA",30.3203015,-97.70957969999999
"12400 MELLOW MEADOW DR, Austin, TX","12400 Mellow Meadow Dr, Austin, TX 78750, USA",30.4563207,-97.79769569999999
"200 LAVACA ST, Austin, TX","2000 Cedar Bend Dr, Austin, TX 78758, USA",30.409552,-97.69798499999999
"2000 CEDAR BEND DR, Austin, TX","200 Lavaca St, Austin, TX 78701, USA",30.2655492,-97.7466255
"2100 W SLAUGHTER LN, Austin, TX","2100 W Slaughter Ln, Austin, TX 78748, USA",30.1739371,-97.82482669999999
"5300 CAMERON RD, Austin, TX","5300 Cameron Rd, Austin, TX 78723, USA",30.3110323,-97.707724
"6200 SNEED CV, Austin, TX","6200 Sneed Cove, Austin, TX 78744, USA",30.194088,-97.765306
"9600 MIDDLE FISKVILLE RD, Austin, TX","9600 Middle Fiskville Rd, Austin, TX 78753, USA",30.3595462,-97.6852373
"1200 W 38TH ST, Austin, TX","1200 W 38th St, Austin, TX 78705, USA",30.3068434,-97.7443089
"500 E STASSNEY LN, Austin, TX","500 E Stassney Ln, Austin, TX 78745, USA",30.20358379999999,-97.7710656
"600 MASTERSON PASS, Austin, TX","600 Masterson Pass, Austin, TX 78753, USA",30.3708879,-97.69181549999999
"800 W SLAUGHTER LN, Austin, TX","800 W Slaughter Ln, Austin, TX 78748, USA",30.1740906,-97.80500819999999
"12400 DESSAU RD, Austin, TX","12400 Dessau Rd, Austin, TX 78754, USA",30.389989,-97.64768699999999
"300 E 7TH ST, Austin, TX","300 E 7th St, Austin, TX 78701, USA",30.2685022,-97.7395219
"5300 N IH 35 SVRD SB, Austin, TX","Sir Swante Palm Neighborhood Park, 200 N IH 35 Svrd SB, Austin, TX 78701, USA",30.2627884,-97.73714849999999
"8200 S CONGRESS AVE, Austin, TX","8200 S Congress Ave, Austin, TX 78745, USA",30.2155312,-97.75926299999999
"9900 N LAMAR BLVD, Austin, TX","9900 N Lamar Blvd, Austin, TX 78753, USA",30.36854129999999,-97.694429
"1000 BAYLOR ST, Austin, TX","1000 Baylor St, Austin, TX 78703, USA",30.2754096,-97.7534053
"12000 METRIC BLVD, Austin, TX","12000 Metric Blvd, Austin, TX 78758, USA",30.402561,-97.70199199999999
"5000 W US 290 HWY SVRD EB, Austin, TX","US-290, Austin, TX, USA",30.2649227,-97.73501300000001
"700 E STASSNEY LN, Austin, TX","700 E Stassney Ln, Austin, TX 78745, USA",30.2011214,-97.76926499999999
"8500 CAHILL DR, Austin, TX","8500 Cahill Dr, Austin, TX 78729, USA",30.4453612,-97.773399800000007
"9200 ANDERSON MILL RD, Austin, TX","9200 Anderson Mill Rd, Austin, TX 78729, USA",30.4505372,-97.7847905
"9400 PARKFIELD DR, Austin, TX","9400 Parkfield Dr, Austin, TX 78758, USA",30.3674434,-97.7062255
"1000 PARK PLZ, Austin, TX","1000 Park Plaza Dr, Austin, TX 78753, USA",30.3498514,-97.6888793
"12100 WALNUT PARK XING, Austin, TX","12100 Walnut Park Crossing, Austin, TX 78753, USA",30.3924497,-97.6751633
"12300 METRIC BLVD, Austin, TX","12300 Metric Blvd, Austin, TX 78758, USA",30.4103223,-97.6970664
"1600 HEADWAY CIR, Austin, TX","1600 Headway Cir, Austin, TX 78754, USA",30.33439,-97.68392
"1700 FRONTIER VALLEY DR, Austin, TX","1700 Frontier Valley Dr, Austin, TX 78741, USA",30.2245344,-97.695984
"3700 S 2ND ST, Austin, TX","3700 S 2nd St, Austin, TX 78704, USA",30.2305961,-97.7701045
"500 TRINITY ST, Austin, TX","500 Trinity St, Austin, TX 78701, USA",30.2661534,-97.7396808
"7600 CAMERON RD, Austin, TX","7600 Cameron Rd, Austin, TX 78752, USA",30.3310827,-97.6879431
"8000 BURNET RD, Austin, TX","8000 Burnet Rd, Austin, TX 78757, USA",30.3584798,-97.73076449999999
"8000 EXCHANGE DR, Austin, TX","8000 Exchange Dr, Austin, TX 78754, USA",30.3378201,-97.66200409999999
"8200 N IH 35 SVRD SB, Austin, TX","8200 N Interstate Hwy 35, Austin, TX 78753, USA",30.3449956,-97.69723049999999
"10500 N MOPAC EXPY SVRD NB, Austin, TX","N Mopac Expy, Austin, TX, USA",30.3795097,-97.7376594
"1100 CLAYTON LN, Austin, TX","1100 Clayton Ln, Austin, TX 78723, USA",30.31860619999999,-97.70194889999999
"12800 TURTLE ROCK RD, Austin, TX","12800 Turtle Rock Rd, Austin, TX 78729, USA",30.4511823,-97.77480270000001
"2200 MONTOPOLIS DR, Austin, TX","2200 Montopolis Dr, Austin, TX 78741, USA",30.2224848,-97.7050221
"2300 GUADALUPE ST, Austin, TX","2300 Guadalupe St, Austin, TX 78705, USA",30.28663349999999,-97.7419673
"3800 S CONGRESS AVE, Austin, TX","3800 S Congress Ave, Austin, TX 78704, USA",30.225961,-97.763035
"6900 WENTWORTH DR, Austin, TX","6900 Wentworth Dr, Austin, TX 78724, USA",30.2952686,-97.6301046
"700 RED RIVER ST, Austin, TX","700 Red River St, Austin, TX 78701, USA",30.267771,-97.736955
"700 ROBERT E LEE RD, Austin, TX","700 Robert E Lee Rd, Austin, TX 78704, USA",30.2628111,-97.7672333
"800 W 6TH ST, Austin, TX","800 W 6th St, Austin, TX 78701, USA",30.2708146,-97.7506641
"1800 S PLEASANT VALLEY RD, Austin, TX","1800 S Pleasant Valley Rd, Austin, TX 78741, USA",30.2365118,-97.7221847
"6500 S IH 35 SVRD NB, Austin, TX","S IH 35 Frontage Rd, Austin, TX, USA",30.2018198,-97.76186299999999
"6600 N IH 35 SVRD NB, Austin, TX",NA,NA,NA
"9700 N LAMAR BLVD, Austin, TX","9700 N Lamar Blvd, Austin, TX 78753, USA",30.3663149,-97.69519960000001
"1800 GROVE BLVD, Austin, TX","1800 Grove Blvd, Austin, TX 78741, USA",30.2283193,-97.7072025
"1900 BURTON DR, Austin, TX","1900 Burton Dr, Austin, TX 78741, USA",30.234663,-97.731793
"2300 W BEN WHITE BLVD SVRD WB, Austin, TX","2300 W E Ben White Blvd, Austin, TX 78704, USA",30.2333711,-97.79152359999999
"2600 S PLEASANT VALLEY RD, Austin, TX","2600 S Pleasant Valley Rd, Austin, TX 78741, USA",30.2264306,-97.728402
"300 E 4TH ST, Austin, TX","300 E 4th St, Austin, TX 78701, USA",30.2655533,-97.7402274
"3500 DARBY ST, Austin, TX","3500 Darby St, Austin, TX 78721, USA",30.2696054,-97.67045660000001
"3600 SOUTHRIDGE DR, Austin, TX","3600 Southridge Dr, Austin, TX 78704, USA",30.2334313,-97.7776301
"3900 S CONGRESS AVE, Austin, TX","3900 S Congress Ave, Austin, TX 78704, USA",30.2242823,-97.7635504
"5000 MANOR RD, Austin, TX","5000 Manor Rd, Austin, TX 78723, USA",30.2961346,-97.6880638
"5500 S IH 35 SVRD SB, Austin, TX","Sir Swante Palm Neighborhood Park, 200 N IH 35 Svrd SB, Austin, TX 78701, USA",30.2627884,-97.73714849999999
"9100 N IH 35 SVRD SB, Austin, TX","Sir Swante Palm Neighborhood Park, 200 N IH 35 Svrd SB, Austin, TX 78701, USA",30.2627884,-97.73714849999999
